vol1,1,1,this,این,-,این رایان است.,این رایانه.,-,-,-,-
vol1,1,2,that,آن,اون,آن نان / نان ایرانی است.,اون نون / نون ایرانیه.,-,-,-,-
vol1,1,3,Iran,ایران,-,این ایران است.,این ارانه.,-,-,-,-
vol1,1,4,is,است,ه,این سارا است.,این ساراست.,-,-,-,-
vol1,1,5,bread,نان,نون,این نان ایرانی است.,-,-,-,-,-
vol1,2,1,I,من,-,من؟,-,-,-,-,-
vol1,2,2,you (plural or respectful singular),شما,-,شما؟,-,-,-,-,-
vol1,2,3,friend / my friend,دوست / دوستم,-,این دوست من آست.,این دوست منه,-,-,-,-
vol1,2,4,I have / I do not have,دارم / ندارم,-,من نان ندارم.,نون ندارم.,-,-,-,-
vol1,2,5,you have / you do not have,دارید / نرارید,-,شما نان دارید؟,شما نون دارید؟,-,-,-,-
vol1,2,6,I like,دوست دارم,-,نان دوست دارید؟,نون دوست دارین؟,-,-,-,-
vol1,2,7,I do not like,دوست ندارم,-,من نان دوست ندارم؟!,من نون دوست ندارم؟!,-,-,-,-
vol1,2,8,you like,دوست دارید,-,نان دوست ندارید؟,نون دوست ندارین؟,-,-,-,-
vol1,2,9,you do not like,دوست ندارید,-,شما نان دوست ندارید؟,شما نون دوست ندارین؟,-,-,-,-
vol1,2,10,brother,برادر,-,من برادر ندارم.,-,-,-,-,-
vol1,2,11,sport / exercise,ورزش,-,ورزش دوست ندارید؟,ورزش دوست ندرین؟,-,-,-,-
vol1,2,12,sweets / dessert,شیرینی,-,شما شیرینی دوست دارید؟,شما شیرینی دوست دارین؟,-,-,-,-
vol1,2,13,ice cream,بستنی,-,من بستنی دوست دارم.,-,-,-,-,-
vol1,2,14,mother,مادر,-,او مادر من است.,اون مادر منه.,-,-,-,-
vol1,2,15,father,پدر,-,او پدر شما است.,اون پدر شماست.,-,-,-,-
vol1,2,16,he / she,او,اون,او برادر من است.,اون برادر منه.,-,-,-,-
vol1,2,17,he / she (polite),ایشان,ایشون,ایشان پدر شما است.,ایشون پدر شماست.,-,-,-,-
vol1,2,18,thirsty,تشنه,-,مادر من تشنه است.,مادر من تشنه ست.,-,-,-,-
vol1,2,19,and,و,-,من بستنی و شیرینی دوست دارم.,-,-,-,-,-
vol1,2,20,pomegranate,آنار,-,من انار دوست دارم.,-,-,-,-,-
vol1,2,21,apple,سیب,-,سیب و انار دوست دارم.,-,-,-,-,-
vol1,2,22,almond,بادام,-,بادام دوست دارید؟,بادام دوست داریدن؟,-,-,-,-
vol1,2,23,but,امّا,-,سیب دوست ندارم / اما انار دوست دارم.,-,-,-,-,-
vol1,2,24,tennis,تنیس,-,ورزش دوست ندارم / اما تنیس دوست دارم.,-,-,-,-,-
vol1,2,25,soup,سوپ,-,این سوپ بادام دارد.,این سوپ بادوم داره.,-,-,-,-
vol2,1,1,I study,درس می خوارنم,درس می خونم,-,-,-,-,-,-
vol2,1,2,I study electrical engineering,مهندسی الکترونیک می خوانم,مهندسی الکترونیک می خونم,-,-,-,-,-,-
vol2,1,3,everybody / all,همه,-,-,-,-,-,-,-
vol2,1,4,family,خانواده,خونواده,-,-,-,-,-,-
vol2,1,5,except,به جز,-,-,-,-,-,-,-
vol2,2,1,I have lived,زندگی کرده ام,-,-,-,-,-,-,-
vol2,2,2,English translation (major),مترجمی زبان اینگلیسی,-,-,-,-,-,-,-
vol2,2,3,I know (somebody) / to know,می شناسم / شناختن,-,-,-,-,-,-,-
vol2,2,4,Masters degree,کارشناسی اَرسم,-,-,-,-,-,-,-
vol2,2,5,Sociology,جامعه شناسی,-,-,-,-,-,-,-